name,email,code,role,year
Elsie,dina.rogstad@example.com,LHiTxwic,student,3
Alice,sanja.legall@example.com,ruZSBlVn,student,3
Hans-H.,shadi.vandenhengel@example.com,pgdXNpMm,student,3
Elmar,renee.kim@example.com,QbUVGZQb,student,3
Marguerite,polina.kammer@example.com,TRpXfSAn,student,3
Albert,miranda.gauthier@example.com,xmVLnTGs,student,3
Marcial,teo.dumont@example.com,QRmpRbIa,student,3
Okan,afet.topaloglu@example.com,nqAympTR,student,3
Ellen,leonie.dufour@example.com,SXRHgLHt,student,3
Hasan,xavier.jones@example.com,mEFcAroP,student,3
Elias,hmd.rdyy@example.com,CbqsUkWu,student,3
Hanan,ellie.horton@example.com,aXHCFZoM,student,3
Elizabeth,calogero.hierl@example.com,FbrpKhiJ,student,3
Joe,constance.berry@example.com,wSNwSwoP,student,3
Bráulio,ulku.yilmazer@example.com,uAowMjgh,student,3
Fiona,eckard.gall@example.com,KkdPARkQ,student,3
Amy,marion.torres@example.com,yKomXmqA,student,3
Aapo,sebastian.cabrera@example.com,thSDsmkD,student,3
Ella,lino.gaillard@example.com,JfAiuToU,student,3
Esma,ftmh.hsyny@example.com,jvkCNuJw,student,3
Alfredo,jonathan.thomsen@example.com,ZlqYJOxv,student,3
Benjamin,charly.wagenmakers@example.com,dMXgDrNv,student,3
Leona,diego.velasco@example.com,amwOGucp,student,3
Montserrat,afet.camdali@example.com,LcUlNBoF,student,3
Natalie,ashton.roberts@example.com,TTpVbzwW,student,3
Martha,begum.tuglu@example.com,fRSORuDZ,student,3
Morgane,kyle.black@example.com,OXkvWkAf,student,3
Kübra,nina.vasquez@example.com,YsWOIyVZ,student,3
Abigail,axelle.bonnet@example.com,eVIBrYId,student,3
Stanley,benjamin.gagnon@example.com,mQpQDvLT,student,3
Holly,ceyhun.cetiner@example.com,TcqPrFaE,student,3
Constance,roberto.mcdonalid@example.com,AcDoDBhY,student,3
Kübra,gerson.monteiro@example.com,chmKoofP,student,3
Ayşe,jaqueline.traub@example.com,IirUbTBk,student,3
Melvin,samuel.martin@example.com,ZSXezpOB,student,3
Madjer,anni.jokela@example.com,oGAVdAru,student,3
Darren,byt.jaafry@example.com,CFgODHrq,student,3
Felizitas,indie.cooper@example.com,rdyruVKy,student,3
Rose,safwan.johnson@example.com,EpuQjAmD,student,3
Jesus,samuel.gallego@example.com,QefTxzZm,student,3
Felix,adryn.mhmdkhn@example.com,XZLGamms,student,3
Bráulio,romeo.rodriguez@example.com,iVvQnJKk,student,3
Candice,lino.guerin@example.com,eVcWsRxT,student,3
Andrea,kristen.stephens@example.com,GVbeIHpY,student,3
Rasmus,ln.ysmy@example.com,TiSHyeiD,student,3
Eemil,yenthe.harinck@example.com,BtAfuWtQ,student,3
Lloyd,murat.cetin@example.com,DjjOWyPs,student,3
Jonathan,josefine.hansen@example.com,FHBsTPiF,student,3
Chester,armyt.rdyyn@example.com,ztMEckRO,student,3
