name,email,code,role,year
Alicia,julie.sanchez@example.com,gmsYfOcH,student,4
Belen,cristobal.navarro@example.com,BSWKmloV,student,4
Ava,frederikke.rasmussen@example.com,DaTmDstB,student,4
Viljami,madison.bergeron@example.com,UOkZMcCP,student,4
Selina,babur.kilicci@example.com,oTjqavaN,student,4
Arin,derek.castro@example.com,kBmmRhkP,student,4
Kornelia,aidan.turner@example.com,kOwSbuRx,student,4
Bráulio,mukremin.verdijk@example.com,prDjfDzx,student,4
Yuen,james.moore@example.com,uMzKSXxU,student,4
Anaïs,murat.akyurek@example.com,HqCDeLIo,student,4
Jamie,roberto.cortes@example.com,RrmYUDmB,student,4
Torvald,arturo.ortega@example.com,ehIgEsVH,student,4
Anne-Marie,caitlin.cruz@example.com,NbXxtxfV,student,4
Jeff,iiris.kotila@example.com,hKVzgdFk,student,4
Marvin,amanda.tervo@example.com,ngWlbrOd,student,4
Roberto,janick.durand@example.com,CtjcCNKa,student,4
Latife,thea.rasmussen@example.com,IbqLccLa,student,4
Lylou,aurelio.rodriguez@example.com,EVmpcROY,student,4
Matilde,alicia.hayes@example.com,yLFcHunv,student,4
Bernadette,lucy.lord@example.com,MhDHXFZl,student,4
Achim,august.ohm@example.com,SjzPiWZT,student,4
Emma,knut.schmuck@example.com,CZFFtqzi,student,4
Elise,bill.howell@example.com,dlZvHltM,student,4
Selma,ryan.ryan@example.com,ciXhenMO,student,4
Harper,babur.kormukcu@example.com,bIqYEqCV,student,4
Philip,eik.ngo@example.com,GGRyPadZ,student,4
Eli,snorre.kapstad@example.com,sbmKZLBk,student,4
Isla,aubree.abraham@example.com,RxTLOase,student,4
Imaan,eliza.douglas@example.com,XnsfQfFS,student,4
Bértil,mhmd.mhmdkhn@example.com,LIGdGYUD,student,4
Ivanilda,halina.dohring@example.com,NzFCdvnV,student,4
Allison,aiden.young@example.com,MPmSrFFC,student,4
Amelia,amalia.bengtsson@example.com,DoxSPMsE,student,4
Marcel,brdy.sltnynjd@example.com,sryWcHUn,student,4
Alban,denilson.elbertsen@example.com,vKULlYnG,student,4
Aquilino,ege.arslanoglu@example.com,GlGGRcug,student,4
Coşkun,romain.chevalier@example.com,HouYplbI,student,4
Begüm,george.johnson@example.com,MeEgNGOH,student,4
Marianne,loyd.slabbekoorn@example.com,QpGYtHDk,student,4
Malik,carina.guldberg@example.com,FIbUYUbr,student,4
Roope,asta.olsen@example.com,ccKxagNM,student,4
Gata,anna.nielsen@example.com,lprymtlu,student,4
Emilie,gaetan.lemaire@example.com,fyzcZKwI,student,4
Edwin,marcus.wright@example.com,wYELZEzz,student,4
Capucine,alfonso.suarez@example.com,ruqgDdaF,student,4
Esma,heike.oenema@example.com,ozEvTYvT,student,4
Roberto,prny.qsmy@example.com,ybgRLiTK,student,4
Jimi,marc.knight@example.com,opYVqUCF,student,4
Alexander,max.stanley@example.com,yDmhDJnv,student,4
