name,email,code,role,year
Dingenus,stacy.jimenez@example.com,rpWkLyEV,student,1
Hermann Josef,isobel.wright@example.com,MatzvoCU,student,1
Abbas,andressa.lopes@example.com,SQAfcMZB,student,1
Zoraia,honoria.martins@example.com,vlffqlsA,student,1
Judd,martha.hill@example.com,ThIQUazK,student,1
Marietta,fabien.morin@example.com,IPdKtCKJ,student,1
John,misty.gregory@example.com,KcyfCOMw,student,1
Liam,josefine.andersen@example.com,jVCgidMJ,student,1
Joann,lucena.dasneves@example.com,SZtKzLAE,student,1
Valentino,isla.jackson@example.com,dpYxGAiH,student,1
Lucy,raphaela.fabre@example.com,tbysVBZE,student,1
Andrea,andre.andre@example.com,FBJSyKOK,student,1
Patrick,craig.gardner@example.com,UFVOMzNU,student,1
Aino,carolina.sanchez@example.com,PNYbdjyK,student,1
Audrey,eino.tuomi@example.com,dEidUejF,student,1
Estelle,martha.heinke@example.com,BNKZDGTK,student,1
Adam,valentine.bourgeois@example.com,GYQNjNuU,student,1
Amandine,marianne.andersen@example.com,TroqXZIV,student,1
Levinus,onni.elo@example.com,TGweSAyu,student,1
Emmi,anna.roche@example.com,IXqezrXz,student,1
Justine,trude.schwarzkopf@example.com,zkCMZGRy,student,1
Giacomo,albert.pedersen@example.com,MNzzlJMX,student,1
Nerea,carmine.frey@example.com,OrtmZSwG,student,1
Ann,isabelle.robinson@example.com,OesZNDZy,student,1
Arthur,batur.karadas@example.com,iQomqMVU,student,1
Enrique,iida.kallio@example.com,KcAgmjbe,student,1
Anthony,rhm.njty@example.com,LoaKWpxa,student,1
Amber,rikke.schouw@example.com,lvfjloxU,student,1
Eddie,geane.silva@example.com,hpFenKqr,student,1
Angelika,rafael.guillaume@example.com,EorDbDvq,student,1
Miro,silke.sorensen@example.com,xgkgwaZM,student,1
Addison,mahdi.lapre@example.com,mPdQyKGs,student,1
Ellen,bryan.morris@example.com,XAzcQPYE,student,1
Fiona,fred.carpenter@example.com,KphTYTTg,student,1
Tristan,cindy.lecomte@example.com,LrngsWNH,student,1
Giray,myrhsyn.hsyny@example.com,giqQUpyP,student,1
Andreas,herman.jennings@example.com,hjIwjNwO,student,1
Jessica,vitor.nguyen@example.com,kYtIXEEW,student,1
Claudia,logan.singh@example.com,SLKdnnXG,student,1
Alvilde,deniz.erez@example.com,afwumtSk,student,1
Elmar,asher.green@example.com,VXytxPKq,student,1
